epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.2955,1.86295,3.22099,1.74873,0.00333,0.6,0.00623,0.00105,3.07231,4.44554,3.03404,4e-05,4e-05,0.09604
2,77.0692,1.69211,2.55947,1.4628,0.00296,0.53333,0.13691,0.01757,2.8171,4.27728,2.76889,8.8218e-05,8.8218e-05,0.0910882
3,109.549,1.72036,1.79107,1.40283,0.00037,0.06667,0.00021,0.0001,3.29715,4.23179,3.37072,0.000134456,0.000134456,0.0861345
4,141.886,1.64876,1.44542,1.36908,0.00111,0.2,0.00069,0.00017,3.22211,4.26714,3.15016,0.000178714,0.000178714,0.0811787
5,175.672,1.70291,1.37265,1.42669,0,0,0,0,3.2635,4.54598,3.04001,0.000220992,0.000220992,0.076221
6,214.189,1.70819,1.31012,1.44563,0.00235,0.06667,0.00147,0.00015,3.4316,4.69012,3.19571,0.00026129,0.00026129,0.0712613
7,249.414,1.65356,1.19366,1.41525,0,0,0,0,3.55412,4.89355,3.42975,0.000299608,0.000299608,0.0662996
8,281.679,1.68366,1.16895,1.41836,0,0,0,0,3.44468,5.06334,3.2931,0.000335946,0.000335946,0.0613359
9,313.572,1.74906,1.18232,1.47981,0,0,0,0,3.32792,5.31992,3.10932,0.000370304,0.000370304,0.0563703
10,347.023,1.67458,1.10859,1.41176,0,0,0,0,3.20034,5.47796,3.03211,0.000402682,0.000402682,0.0514027
11,380.806,1.60501,1.13098,1.37544,0,0,0,0,2.93063,5.55308,2.86892,0.00043308,0.00043308,0.0464331
12,413.775,1.5569,1.1248,1.34521,0.03922,0.26667,0.0268,0.01318,2.48058,4.83186,2.14287,0.000461498,0.000461498,0.0414615
13,443.062,1.67654,1.22792,1.42471,0.07097,0.73333,0.22509,0.10983,1.91885,3.3597,1.63,0.000487936,0.000487936,0.0364879
14,470.874,1.64323,1.17835,1.40135,0.7592,0.63189,0.80738,0.36503,1.7853,1.80142,1.37364,0.000512394,0.000512394,0.0315124
15,499.172,1.54139,1.09822,1.33627,0.79791,0.79025,0.7423,0.34791,2.01218,1.35188,1.46328,0.000534872,0.000534872,0.0265349
16,526.836,1.61122,1.1014,1.38942,0.6266,0.86667,0.75278,0.32748,1.99532,1.33346,1.47037,0.00055537,0.00055537,0.0215554
17,554.782,1.59401,1.05432,1.33678,0.67626,0.8,0.71627,0.33989,1.86481,1.26785,1.41848,0.000573888,0.000573888,0.0165739
18,582.515,1.57087,1.03097,1.36779,0.68251,0.8,0.70647,0.32823,1.88856,1.25438,1.45947,0.000590426,0.000590426,0.0115904
19,610.24,1.51034,1.00348,1.32879,0.68447,0.86667,0.68526,0.31385,1.93532,1.28462,1.51508,0.000604984,0.000604984,0.00660498
20,638.138,1.54457,1.06074,1.31929,0.65103,0.86667,0.70219,0.28578,2.08179,1.28948,1.54899,0.000617562,0.000617562,0.00161756
21,665.876,1.5171,0.99504,1.30451,0.68378,0.86501,0.685,0.29251,2.02451,1.21936,1.49962,0.000604,0.000604,0.000604
22,693.74,1.49853,0.99301,1.33943,0.68067,0.8532,0.69987,0.3066,2.00816,1.14256,1.47579,0.0005842,0.0005842,0.0005842
23,721.474,1.54269,0.99091,1.35352,0.67811,0.8435,0.70262,0.31298,2.02054,1.11504,1.47552,0.0005644,0.0005644,0.0005644
24,749.732,1.51328,1.00645,1.3521,0.72828,0.8,0.78103,0.30157,2.16561,1.16606,1.58592,0.0005446,0.0005446,0.0005446
25,777.96,1.6115,0.98419,1.38518,0.73207,0.8,0.7299,0.28787,2.19626,1.21104,1.62567,0.0005248,0.0005248,0.0005248
26,806.905,1.58346,0.96733,1.35079,0.74644,0.78576,0.74322,0.28756,2.19493,1.19508,1.65029,0.000505,0.000505,0.000505
27,835.143,1.54915,0.99418,1.35044,0.70021,0.77942,0.73132,0.29666,2.18294,1.16308,1.64637,0.0004852,0.0004852,0.0004852
28,863.309,1.48445,0.94151,1.31466,0.88557,0.66667,0.75247,0.33461,2.03836,1.12267,1.54198,0.0004654,0.0004654,0.0004654
29,891.782,1.52575,0.97922,1.33493,0.85397,0.66667,0.76018,0.34721,2.02838,1.06166,1.50112,0.0004456,0.0004456,0.0004456
30,919.497,1.46375,0.91909,1.30233,0.93966,0.73333,0.90095,0.35818,2.0388,1.01064,1.48867,0.0004258,0.0004258,0.0004258
31,947.495,1.41987,0.92967,1.29763,0.81178,0.86283,0.8974,0.35444,2.06573,1.02365,1.48745,0.000406,0.000406,0.000406
32,975.408,1.52584,0.91961,1.29409,0.85015,0.75756,0.89604,0.38437,2.01911,1.06035,1.44915,0.0003862,0.0003862,0.0003862
33,1003.48,1.52259,0.92735,1.31828,0.84235,0.86667,0.94497,0.38178,1.95449,1.03374,1.43178,0.0003664,0.0003664,0.0003664
34,1031.28,1.44979,0.87466,1.25048,0.94375,0.8,0.95102,0.39403,1.8969,1.01157,1.41516,0.0003466,0.0003466,0.0003466
35,1058.91,1.51246,0.92093,1.29224,0.91156,0.8,0.9501,0.38725,1.86682,1.02888,1.40216,0.0003268,0.0003268,0.0003268
36,1086.68,1.50419,0.95988,1.32253,0.65991,0.93333,0.79443,0.37014,1.83777,1.10367,1.41394,0.000307,0.000307,0.000307
37,1114.85,1.46641,0.87423,1.26713,0.6605,0.93333,0.76906,0.34557,1.85646,1.11307,1.43258,0.0002872,0.0002872,0.0002872
38,3296.64,1.51485,0.91506,1.33113,0.66061,0.93333,0.7839,0.33832,1.90331,1.12571,1.47099,0.0002674,0.0002674,0.0002674
39,3325.57,1.45639,0.90177,1.27872,0.61257,0.86667,0.6748,0.32119,1.96067,1.12049,1.51301,0.0002476,0.0002476,0.0002476
40,3352.74,1.4581,0.90065,1.29191,0.61063,0.86667,0.70982,0.33272,2.02113,1.0988,1.53766,0.0002278,0.0002278,0.0002278
41,3379.19,1.35471,0.94867,1.24914,0.82542,0.66667,0.70689,0.32409,2.0205,1.10439,1.52611,0.000208,0.000208,0.000208
42,3405.78,1.35219,0.93097,1.23637,0.71777,0.86667,0.74965,0.31639,2.01198,1.10398,1.51042,0.0001882,0.0001882,0.0001882
43,3431.82,1.39469,0.89943,1.24335,0.71633,0.86667,0.75035,0.34172,1.98491,1.09271,1.48347,0.0001684,0.0001684,0.0001684
44,3459.09,1.41029,0.85101,1.23409,0.71467,0.8,0.78503,0.34554,1.97189,1.11275,1.47298,0.0001486,0.0001486,0.0001486
45,3486.1,1.41044,0.89688,1.28932,0.6945,0.8,0.75618,0.34337,1.97677,1.10569,1.48281,0.0001288,0.0001288,0.0001288
46,3513.96,1.42195,0.83451,1.27246,0.70582,0.86667,0.77705,0.3463,1.9835,1.08598,1.49741,0.000109,0.000109,0.000109
47,3541.08,1.37796,0.80721,1.26613,0.69038,0.86667,0.78897,0.35218,1.9955,1.06728,1.5105,8.92e-05,8.92e-05,8.92e-05
48,3567.86,1.42102,0.8007,1.28476,0.6734,0.86667,0.78911,0.34461,1.9872,1.04713,1.5114,6.94e-05,6.94e-05,6.94e-05
49,3595.55,1.37948,0.77726,1.24124,0.74395,0.8,0.79632,0.35909,1.97342,1.04577,1.50648,4.96e-05,4.96e-05,4.96e-05
50,3623.75,1.34385,0.77408,1.23561,0.74593,0.8,0.79632,0.36779,1.96126,1.0454,1.50212,2.98e-05,2.98e-05,2.98e-05
